"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: loadFactor"
"benchmarks.LinearProbingHashMapBenchmark.getAll","sample",1,10110,49643267.190504,13287.351482,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.00","sample",1,1,48431104.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.50","sample",1,1,49610752.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.90","sample",1,1,50135040.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.95","sample",1,1,50200576.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.99","sample",1,1,50528256.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.999","sample",1,1,52749205.504000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.9999","sample",1,1,55898570.752000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll:p1.00","sample",1,1,55902208.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.getAll","sample",1,10126,49598882.256370,13476.052654,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.00","sample",1,1,48234496.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.50","sample",1,1,49610752.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.90","sample",1,1,50135040.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.95","sample",1,1,50331648.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.99","sample",1,1,50593792.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.999","sample",1,1,52035584.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.9999","sample",1,1,52885887.385600,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll:p1.00","sample",1,1,52887552.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.getAll","sample",1,10192,49298864.427002,24736.738125,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.00","sample",1,1,47054848.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.50","sample",1,1,49348608.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.90","sample",1,1,50200576.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.95","sample",1,1,50397184.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.99","sample",1,1,50659328.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.999","sample",1,1,52037877.760000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p0.9999","sample",1,1,58827060.019200,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.getAll:p1.00","sample",1,1,58916864.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll","sample",1,6806,73908873.967676,73522.696708,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.00","sample",1,1,70385664.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.50","sample",1,1,73924608.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.90","sample",1,1,75759616.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.95","sample",1,1,76546048.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.99","sample",1,1,79953920.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.999","sample",1,1,88025202.688000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.9999","sample",1,1,97517568.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll:p1.00","sample",1,1,97517568.000000,NaN,"ns/op",0.5
"benchmarks.LinearProbingHashMapBenchmark.putAll","sample",1,7018,71705105.946993,54144.243104,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.00","sample",1,1,69599232.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.50","sample",1,1,71434240.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.90","sample",1,1,73138176.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.95","sample",1,1,73662464.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.99","sample",1,1,75628544.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.999","sample",1,1,83492864.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.9999","sample",1,1,106561536.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll:p1.00","sample",1,1,106561536.000000,NaN,"ns/op",0.75
"benchmarks.LinearProbingHashMapBenchmark.putAll","sample",1,6711,75022108.953062,110509.728986,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.00","sample",1,1,70123520.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.50","sample",1,1,75366400.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.90","sample",1,1,78249984.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.95","sample",1,1,78905344.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.99","sample",1,1,80609280.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.999","sample",1,1,86414196.736000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p0.9999","sample",1,1,111673344.000000,NaN,"ns/op",0.9
"benchmarks.LinearProbingHashMapBenchmark.putAll:p1.00","sample",1,1,111673344.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll","sample",1,7868,63973456.170819,22621.146332,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.00","sample",1,1,62521344.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.50","sample",1,1,64028672.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.90","sample",1,1,64684032.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.95","sample",1,1,64880640.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.99","sample",1,1,65142784.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.999","sample",1,1,66020507.648000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.9999","sample",1,1,68157440.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p1.00","sample",1,1,68157440.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.getAll","sample",1,7830,64222953.179055,24235.917610,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.00","sample",1,1,62652416.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.50","sample",1,1,64094208.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.90","sample",1,1,65273856.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.95","sample",1,1,65470464.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.99","sample",1,1,65863680.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.999","sample",1,1,66661187.584000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.9999","sample",1,1,67371008.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p1.00","sample",1,1,67371008.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.getAll","sample",1,7762,64722895.979387,16092.297625,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.00","sample",1,1,63766528.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.50","sample",1,1,64684032.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.90","sample",1,1,65208320.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.95","sample",1,1,65404928.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.99","sample",1,1,65929216.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.999","sample",1,1,67058860.032000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p0.9999","sample",1,1,67764224.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.getAll:p1.00","sample",1,1,67764224.000000,NaN,"ns/op",0.9
"benchmarks.QuadraticProbingHashMapBenchmark.putAll","sample",1,6129,82206095.809431,55950.432985,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.00","sample",1,1,79822848.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.50","sample",1,1,82182144.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.90","sample",1,1,83361792.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.95","sample",1,1,83886080.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.99","sample",1,1,88735744.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.999","sample",1,1,91192033.280000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.9999","sample",1,1,96731136.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p1.00","sample",1,1,96731136.000000,NaN,"ns/op",0.5
"benchmarks.QuadraticProbingHashMapBenchmark.putAll","sample",1,6111,82522510.808706,44508.863879,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.00","sample",1,1,77332480.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.50","sample",1,1,82444288.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.90","sample",1,1,83492864.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.95","sample",1,1,83755008.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.99","sample",1,1,85065728.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.999","sample",1,1,90148175.872000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p0.9999","sample",1,1,112984064.000000,NaN,"ns/op",0.75
"benchmarks.QuadraticProbingHashMapBenchmark.putAll:p1.00","sample",1,1,112984064.000000,NaN,"ns/op",0.75
